Processes,Size,Latency
2,4,0.11
3,4,0.19
4,4,0.15
5,4,0.27
6,4,0.35
7,4,0.43
8,4,0.68
9,4,1.03
10,4,1.07
11,4,1.09
12,4,1.04
13,4,1.06
14,4,1.01
15,4,1.10
16,4,0.94
17,4,1.49
18,4,1.48
19,4,1.51
20,4,1.46
21,4,1.44
22,4,1.46
23,4,1.47
24,4,1.46
25,4,1.43
26,4,1.43
27,4,1.41
28,4,1.41
29,4,1.43
30,4,1.40
31,4,1.52
32,4,1.30
33,4,2.46
34,4,2.56
35,4,2.48
36,4,2.63
37,4,2.70
38,4,2.67
39,4,2.70
40,4,2.60
41,4,2.58
42,4,2.57
43,4,2.63
44,4,2.52
45,4,2.57
46,4,2.56
47,4,2.53
48,4,2.55
49,4,2.46
50,4,2.52
51,4,2.48
52,4,2.62
53,4,2.43
54,4,2.51
55,4,2.56
56,4,2.62
57,4,2.50
58,4,2.53
59,4,2.51
60,4,2.49
61,4,2.53
62,4,2.57
63,4,2.68
64,4,2.00
65,4,2.19
66,4,2.22
67,4,2.27
68,4,2.34
69,4,2.40
70,4,2.37
71,4,2.41
72,4,2.44
73,4,2.29
74,4,2.26
75,4,2.32
76,4,2.30
77,4,2.36
78,4,2.43
79,4,2.53
80,4,2.65
81,4,2.47
82,4,2.46
83,4,2.53
84,4,2.52
85,4,2.52
86,4,2.53
87,4,2.58
88,4,2.53
89,4,2.58
90,4,2.58
91,4,2.64
92,4,2.61
93,4,2.68
94,4,2.68
95,4,2.67
96,4,2.93
97,4,2.75
98,4,2.72
99,4,2.70
100,4,2.70
101,4,2.67
102,4,2.65
103,4,2.66
104,4,2.69
105,4,2.69
106,4,2.69
107,4,2.73
108,4,2.72
109,4,2.71
110,4,2.76
111,4,2.77
112,4,2.76
113,4,2.73
114,4,2.70
115,4,2.71
116,4,2.74
117,4,2.73
118,4,2.73
119,4,2.74
120,4,2.75
121,4,2.75
122,4,2.79
123,4,2.80
124,4,2.83
125,4,2.83
126,4,2.88
127,4,2.87
128,4,2.67
