Processes,Size,Latency
2,2,0.11
2,4,0.12
2,8,0.12
2,16,0.11
2,32,0.12
2,64,0.12
2,128,0.15
2,256,0.16
2,512,0.18
2,1024,0.20
2,2048,0.27
2,4096,0.43
2,8192,0.59
2,16384,2.93
2,32768,3.03
2,65536,3.54
2,131072,5.31
2,262144,9.19
4,2,0.15
4,4,0.15
4,8,0.15
4,16,0.15
4,32,0.16
4,64,0.16
4,128,0.22
4,256,0.25
4,512,0.27
4,1024,0.33
4,2048,0.48
4,4096,0.80
4,8192,1.03
4,16384,4.43
4,32768,7.45
4,65536,9.28
4,131072,16.17
4,262144,30.00
8,2,0.70
8,4,0.68
8,8,0.69
8,16,0.69
8,32,0.80
8,64,0.78
8,128,1.01
8,256,1.09
8,512,1.16
8,1024,1.35
8,2048,1.90
8,4096,3.14
8,8192,5.60
8,16384,15.72
8,32768,27.75
8,65536,51.65
8,131072,82.09
8,262144,158.77
16,2,0.94
16,4,0.96
16,8,0.93
16,16,0.93
16,32,1.31
16,64,1.28
16,128,1.65
16,256,1.83
16,512,1.93
16,1024,2.25
16,2048,3.19
16,4096,4.97
16,8192,9.49
16,16384,24.62
16,32768,44.35
16,65536,82.52
16,131072,159.67
16,262144,313.06
32,2,1.35
32,4,1.31
32,8,1.33
32,16,1.35
32,32,1.74
32,64,1.66
32,128,2.44
32,256,2.81
32,512,3.00
32,1024,3.40
32,2048,4.85
32,4096,7.93
32,8192,14.27
32,16384,35.20
32,32768,63.15
32,65536,118.58
32,131072,228.76
32,262144,447.27
64,2,1.96
64,4,1.99
64,8,1.98
64,16,1.94
64,32,2.68
64,64,2.68
64,128,3.47
64,256,3.89
64,512,4.18
64,1024,4.73
64,2048,6.72
64,4096,10.35
64,8192,23.00
64,16384,54.00
64,32768,98.44
64,65536,187.20
64,131072,359.78
64,262144,708.03
128,2,2.67
128,4,2.63
128,8,2.64
128,16,2.60
128,32,3.52
128,64,3.76
128,128,4.35
128,256,4.98
128,512,5.06
128,1024,10.32
128,2048,12.47
128,4096,16.75
128,8192,29.18
128,16384,61.08
128,32768,106.84
128,65536,195.44
128,131072,295.75
128,262144,506.05
