Processes, Size, Latency
2,4,0.11
3,4,0.20
4,4,0.12
5,4,0.25
6,4,0.37
7,4,0.49
8,4,0.66
9,4,0.87
10,4,0.94
11,4,0.93
12,4,0.95
13,4,1.01
14,4,1.05
15,4,1.09
16,4,1.11
17,4,1.48
18,4,1.57
19,4,1.55
20,4,1.62
21,4,1.74
22,4,1.77
23,4,1.68
24,4,1.98
25,4,1.74
26,4,1.86
27,4,1.94
28,4,2.03
29,4,2.07
30,4,2.04
31,4,2.02
32,4,2.23
33,4,3.03
34,4,3.08
35,4,3.15
36,4,3.30
37,4,3.31
38,4,3.42
39,4,3.65
40,4,3.76
41,4,3.62
42,4,3.57
43,4,3.85
44,4,3.81
45,4,3.74
46,4,3.97
47,4,4.01
48,4,4.20
49,4,3.93
50,4,4.11
51,4,4.18
52,4,4.13
53,4,4.33
54,4,4.46
55,4,4.47
56,4,4.65
57,4,4.57
58,4,4.61
59,4,4.65
60,4,4.95
61,4,4.87
62,4,5.14
63,4,5.44
64,4,5.78
65,4,3.28
66,4,3.22
67,4,3.26
68,4,3.61
69,4,3.83
70,4,3.78
71,4,3.60
72,4,5.39
73,4,3.99
74,4,4.21
75,4,4.75
76,4,3.88
77,4,4.34
78,4,4.97
79,4,3.99
80,4,4.86
81,4,5.20
82,4,4.74
83,4,4.97
84,4,5.51
85,4,4.51
86,4,4.96
87,4,5.72
88,4,5.34
89,4,5.80
90,4,5.60
91,4,6.03
92,4,5.71
93,4,6.03
94,4,5.69
95,4,5.81
96,4,7.92
97,4,5.82
98,4,5.85
99,4,5.86
100,4,5.97
101,4,6.13
102,4,6.30
103,4,6.41
104,4,6.51
105,4,6.61
106,4,6.85
107,4,7.06
108,4,7.20
109,4,7.24
110,4,7.49
111,4,7.64
112,4,7.81
113,4,7.77
114,4,7.61
115,4,8.36
116,4,8.46
117,4,8.45
118,4,8.39
119,4,8.48
120,4,9.10
121,4,9.05
122,4,8.91
123,4,9.13
124,4,9.64
125,4,9.70
126,4,10.26
127,4,10.29
128,4,3.85
