Processes,Size,Latency
2,2,0.12
2,4,0.11
2,8,0.11
2,16,0.12
2,32,0.13
2,64,0.12
2,128,0.15
2,256,0.16
2,512,0.18
2,1024,0.21
2,2048,0.29
2,4096,0.45
2,8192,0.73
2,16384,3.88
2,32768,4.19
2,65536,5.44
2,131072,8.29
2,262144,15.17
4,2,0.13
4,4,0.13
4,8,0.13
4,16,0.13
4,32,0.14
4,64,0.14
4,128,0.20
4,256,0.22
4,512,0.25
4,1024,0.34
4,2048,0.56
4,4096,1.00
4,8192,1.42
4,16384,6.56
4,32768,9.06
4,65536,11.36
4,131072,23.17
4,262144,40.93
8,2,0.67
8,4,0.68
8,8,0.64
8,16,0.67
8,32,0.86
8,64,0.87
8,128,1.22
8,256,1.29
8,512,1.35
8,1024,1.61
8,2048,2.71
8,4096,4.44
8,8192,8.33
8,16384,14.76
8,32768,20.16
8,65536,33.89
8,131072,50.63
8,262144,90.14
16,2,1.24
16,4,1.19
16,8,1.14
16,16,1.15
16,32,1.51
16,64,1.54
16,128,2.05
16,256,2.64
16,512,3.03
16,1024,3.66
16,2048,6.49
16,4096,10.20
16,8192,18.07
16,16384,9.91
16,32768,22.63
16,65536,34.41
16,131072,50.38
16,262144,82.11
32,2,2.23
32,4,2.28
32,8,2.28
32,16,2.27
32,32,2.62
32,64,2.64
32,128,3.49
32,256,5.47
32,512,6.21
32,1024,7.58
32,2048,13.33
32,4096,23.48
32,8192,41.83
32,16384,17.44
32,32768,27.80
32,65536,61.98
32,131072,99.48
32,262144,112.06
64,2,5.30
64,4,5.11
64,8,5.68
64,16,5.87
64,32,7.58
64,64,7.10
64,128,12.93
64,256,13.33
64,512,16.00
64,1024,17.02
64,2048,30.07
64,4096,48.39
64,8192,75.65
64,16384,57.81
64,32768,68.06
64,65536,132.73
64,131072,135.89
64,262144,130.23
128,2,3.83
128,4,4.11
128,8,3.89
128,16,8.02
128,32,13.88
128,64,13.17
128,128,21.61
128,256,24.23
128,512,26.82
128,1024,29.66
128,2048,45.63
128,4096,70.45
128,8192,111.93
128,16384,860.04
128,32768,1637.88
128,65536,3155.75
128,131072,5965.07
128,262144,11290.12
