Processes,Size,Latency
2,2,0.11
2,4,0.11
2,8,0.12
2,16,0.11
2,32,0.12
2,64,0.12
2,128,0.15
2,256,0.17
2,512,0.18
2,1024,0.21
2,2048,0.27
2,4096,0.46
2,8192,0.74
2,16384,3.88
2,32768,4.23
2,65536,5.40
2,131072,8.39
2,262144,14.98
4,2,0.13
4,4,0.12
4,8,0.12
4,16,0.13
4,32,0.14
4,64,0.15
4,128,0.20
4,256,0.23
4,512,0.25
4,1024,0.34
4,2048,0.56
4,4096,1.00
4,8192,1.42
4,16384,6.49
4,32768,8.93
4,65536,11.54
4,131072,22.76
4,262144,40.51
8,2,0.67
8,4,0.69
8,8,0.66
8,16,0.66
8,32,0.84
8,64,0.87
8,128,1.19
8,256,1.29
8,512,1.35
8,1024,1.60
8,2048,2.73
8,4096,4.54
8,8192,8.26
8,16384,14.72
8,32768,23.62
8,65536,33.49
8,131072,50.54
8,262144,89.52
16,2,1.25
16,4,1.23
16,8,1.24
16,16,1.14
16,32,1.52
16,64,1.51
16,128,2.00
16,256,2.46
16,512,2.71
16,1024,3.71
16,2048,6.38
16,4096,10.38
16,8192,18.50
16,16384,8.57
16,32768,12.90
16,65536,47.97
16,131072,60.69
16,262144,80.81
32,2,2.28
32,4,2.58
32,8,2.24
32,16,2.35
32,32,2.64
32,64,2.62
32,128,3.76
32,256,5.23
32,512,5.92
32,1024,7.49
32,2048,13.29
32,4096,24.02
32,8192,43.28
32,16384,14.53
32,32768,46.01
32,65536,93.99
32,131072,83.89
32,262144,101.00
64,2,6.19
64,4,5.72
64,8,6.07
64,16,5.49
64,32,7.48
64,64,6.82
64,128,12.30
64,256,13.28
64,512,15.53
64,1024,16.10
64,2048,30.46
64,4096,50.11
64,8192,78.32
64,16384,57.12
64,32768,125.79
64,65536,133.47
64,131072,134.63
64,262144,140.19
128,2,3.76
128,4,3.89
128,8,3.72
128,16,8.09
128,32,13.49
128,64,13.13
128,128,21.16
128,256,24.43
128,512,26.84
128,1024,30.00
128,2048,45.68
128,4096,71.15
128,8192,112.92
128,16384,878.14
128,32768,1626.99
128,65536,3154.46
128,131072,6053.64
128,262144,11554.46
