P,count,time
128,16,0.001010
128,32,0.002780
128,64,0.003034
128,1,
128,2,0.001229
128,4,0.001553
128,128,0.003314
128,8,0.001160
128,16,0.001062
128,32,0.003590
128,64,0.004321
128,256,0.002967
128,128,0.003763
128,512,0.004689
128,256,0.003620
128,1024,0.005172
128,512,0.005251
128,1024,0.005050
128,2048,0.007018
128,4096,0.005742
128,2048,0.005591
128,8192,0.008673
128,16384,0.009822
128,32768,0.016943
128,65536,0.024505
128,4096,0.005582
128,131072,0.032571
128,262144,0.048692
128,524288,0.078384
128,8192,0.007701
128,1048576,0.138087
128,2097152,0.299567
128,4194304,0.752613
128,16384,0.010266
128,32768,0.016209
128,65536,0.026071
128,131072,0.033551
128,262144,0.048855
128,524288,0.079360
128,1048576,0.141635
128,2097152,0.321036
128,4194304,0.689149
