Running with 1 threads, image size 1000.00x1000.00
Running with 2 threads, image size 1414.21x1414.21
Running with 3 threads, image size 1732.05x1732.05
Running with 4 threads, image size 2000.00x2000.00
Running with 5 threads, image size 2236.07x2236.07
Running with 6 threads, image size 2449.49x2449.49
Running with 7 threads, image size 2645.75x2645.75
Running with 8 threads, image size 2828.43x2828.43
Running with 9 threads, image size 3000.00x3000.00
Running with 10 threads, image size 3162.28x3162.28
Running with 11 threads, image size 3316.62x3316.62
Running with 12 threads, image size 3464.10x3464.10
Running with 13 threads, image size 3605.55x3605.55
Running with 14 threads, image size 3741.66x3741.66
Running with 15 threads, image size 3872.98x3872.98
Running with 16 threads, image size 4000.00x4000.00
Running with 17 threads, image size 4123.11x4123.11
Running with 18 threads, image size 4242.64x4242.64
Running with 19 threads, image size 4358.90x4358.90
Running with 20 threads, image size 4472.14x4472.14
Running with 21 threads, image size 4582.58x4582.58
Running with 22 threads, image size 4690.42x4690.42
Running with 23 threads, image size 4795.83x4795.83
Running with 24 threads, image size 4898.98x4898.98
Running with 25 threads, image size 5000.00x5000.00
Running with 26 threads, image size 5099.02x5099.02
Running with 27 threads, image size 5196.15x5196.15
Running with 28 threads, image size 5291.50x5291.50
Running with 29 threads, image size 5385.16x5385.16
Running with 30 threads, image size 5477.23x5477.23
Running with 31 threads, image size 5567.76x5567.76
Running with 32 threads, image size 5656.85x5656.85
Running with 33 threads, image size 5744.56x5744.56
Running with 34 threads, image size 5830.95x5830.95
Running with 35 threads, image size 5916.08x5916.08
Running with 36 threads, image size 6000.00x6000.00
Running with 37 threads, image size 6082.76x6082.76
Running with 38 threads, image size 6164.41x6164.41
Running with 39 threads, image size 6245.00x6245.00
Running with 40 threads, image size 6324.56x6324.56
Running with 41 threads, image size 6403.12x6403.12
Running with 42 threads, image size 6480.74x6480.74
Running with 43 threads, image size 6557.44x6557.44
Running with 44 threads, image size 6633.25x6633.25
Running with 45 threads, image size 6708.20x6708.20
Running with 46 threads, image size 6782.33x6782.33
Running with 47 threads, image size 6855.65x6855.65
Running with 48 threads, image size 6928.20x6928.20
Running with 49 threads, image size 7000.00x7000.00
Running with 50 threads, image size 7071.07x7071.07
Running with 51 threads, image size 7141.43x7141.43
Running with 52 threads, image size 7211.10x7211.10
Running with 53 threads, image size 7280.11x7280.11
Running with 54 threads, image size 7348.47x7348.47
Running with 55 threads, image size 7416.20x7416.20
Running with 56 threads, image size 7483.31x7483.31
Running with 57 threads, image size 7549.83x7549.83
Running with 58 threads, image size 7615.77x7615.77
Running with 59 threads, image size 7681.15x7681.15
Running with 60 threads, image size 7745.97x7745.97
Running with 61 threads, image size 7810.25x7810.25
Running with 62 threads, image size 7874.01x7874.01
Running with 63 threads, image size 7937.25x7937.25
Running with 64 threads, image size 8000.00x8000.00
Running with 65 threads, image size 8062.26x8062.26
Running with 66 threads, image size 8124.04x8124.04
Running with 67 threads, image size 8185.35x8185.35
Running with 68 threads, image size 8246.21x8246.21
Running with 69 threads, image size 8306.62x8306.62
Running with 70 threads, image size 8366.60x8366.60
Running with 71 threads, image size 8426.15x8426.15
Running with 72 threads, image size 8485.28x8485.28
Running with 73 threads, image size 8544.00x8544.00
Running with 74 threads, image size 8602.33x8602.33
