cores,threads,width,height,time
1,1,10000,10000,48.887341
1,2,10000,10000,24.388548
1,3,10000,10000,17.856113
1,4,10000,10000,14.357303
1,5,10000,10000,12.158992
1,6,10000,10000,10.339502
1,7,10000,10000,8.984081
1,8,10000,10000,7.919960
1,9,10000,10000,5.688419
1,10,10000,10000,5.136452
1,11,10000,10000,4.669181
1,12,10000,10000,4.286284
1,13,10000,10000,3.965164
1,14,10000,10000,3.671394
1,15,10000,10000,3.422408
1,16,10000,10000,3.215753
1,17,10000,10000,3.026489
1,18,10000,10000,2.843683
1,19,10000,10000,2.696411
1,20,10000,10000,2.574271
1,21,10000,10000,2.448625
1,22,10000,10000,2.333847
1,23,10000,10000,2.225967
1,24,10000,10000,2.140666
1,25,10000,10000,2.057452
1,26,10000,10000,1.974808
1,27,10000,10000,1.897236
1,28,10000,10000,1.830673
1,29,10000,10000,1.770059
1,30,10000,10000,1.710068
1,31,10000,10000,1.658875
1,32,10000,10000,1.608457
1,33,10000,10000,1.499606
1,34,10000,10000,1.460816
1,35,10000,10000,1.416556
1,36,10000,10000,1.378152
1,37,10000,10000,1.342034
1,38,10000,10000,1.307474
1,39,10000,10000,1.265061
1,40,10000,10000,1.235206
1,41,10000,10000,1.208317
1,42,10000,10000,1.181992
1,43,10000,10000,1.147974
1,44,10000,10000,1.125848
1,45,10000,10000,1.105900
1,46,10000,10000,1.076588
1,47,10000,10000,1.056795
1,48,10000,10000,1.030018
1,49,10000,10000,1.013947
1,50,10000,10000,0.988782
1,51,10000,10000,0.974480
1,52,10000,10000,0.949646
1,53,10000,10000,0.938202
1,54,10000,10000,0.917602
1,55,10000,10000,0.907150
1,56,10000,10000,0.885845
1,57,10000,10000,0.873778
1,58,10000,10000,0.857342
1,59,10000,10000,0.839916
1,60,10000,10000,0.831094
1,61,10000,10000,0.814523
1,62,10000,10000,0.799928
1,63,10000,10000,0.791068
1,64,10000,10000,1.083745
1,65,10000,10000,1.067832
1,66,10000,10000,1.042834
1,67,10000,10000,1.040878
1,68,10000,10000,1.019379
1,69,10000,10000,1.003571
1,70,10000,10000,0.995332
1,71,10000,10000,0.976128
1,72,10000,10000,0.971570
1,73,10000,10000,0.947686
1,74,10000,10000,0.945187
1,75,10000,10000,0.922278
1,76,10000,10000,0.918520
1,77,10000,10000,0.897844
1,78,10000,10000,0.892532
1,79,10000,10000,0.884991
1,80,10000,10000,0.862336
1,81,10000,10000,0.858210
1,82,10000,10000,0.847664
1,83,10000,10000,0.833420
1,84,10000,10000,0.824433
1,85,10000,10000,0.818023
1,86,10000,10000,0.811200
1,87,10000,10000,0.803205
1,88,10000,10000,0.785215
1,89,10000,10000,0.777863
1,90,10000,10000,0.771664
1,91,10000,10000,0.763667
1,92,10000,10000,0.758351
1,93,10000,10000,0.751142
1,94,10000,10000,0.742218
1,95,10000,10000,0.737090
1,96,10000,10000,0.727239
1,97,10000,10000,0.723408
1,98,10000,10000,0.715134
1,99,10000,10000,0.700734
1,100,10000,10000,0.702670
1,101,10000,10000,0.689499
1,102,10000,10000,0.689418
1,103,10000,10000,0.678617
1,104,10000,10000,0.675680
1,105,10000,10000,0.666714
1,106,10000,10000,0.661329
1,107,10000,10000,0.654200
1,108,10000,10000,0.646844
1,109,10000,10000,0.641467
1,110,10000,10000,0.632641
1,111,10000,10000,0.628225
1,112,10000,10000,0.630423
1,113,10000,10000,0.616392
1,114,10000,10000,0.617722
1,115,10000,10000,0.613088
1,116,10000,10000,0.605002
1,117,10000,10000,0.597894
1,118,10000,10000,0.591975
1,119,10000,10000,0.594659
1,120,10000,10000,0.581875
1,121,10000,10000,0.581992
1,122,10000,10000,0.575516
1,123,10000,10000,0.569163
1,124,10000,10000,0.569914
1,125,10000,10000,0.568088
1,126,10000,10000,0.557515
1,127,10000,10000,0.554422
1,128,10000,10000,0.546756
