cores,threads,width,height,time
1,1,1000,1000,0.254968
1,2,1414,1414,0.252166
1,3,1732,1732,0.276199
1,4,2000,2000,0.294654
1,5,2236,2236,0.311083
1,6,2449,2449,0.315582
1,7,2645,2645,0.320685
1,8,2828,2828,0.321795
1,9,3000,3000,0.261322
1,10,3162,3162,0.262445
1,11,3316,3316,0.261678
1,12,3464,3464,0.263599
1,13,3605,3605,0.262987
1,14,3741,3741,0.262747
1,15,3872,3872,0.262158
1,16,4000,4000,0.262326
1,17,4123,4123,0.264616
1,18,4242,4242,0.267900
1,19,4358,4358,0.261777
1,20,4472,4472,0.269694
1,21,4582,4582,0.265569
1,22,4690,4690,0.262268
1,23,4795,4795,0.262389
1,24,4898,4898,0.263104
1,25,5000,5000,0.263403
1,26,5099,5099,0.263466
1,27,5196,5196,0.262915
1,28,5291,5291,0.263592
1,29,5385,5385,0.267578
1,30,5477,5477,0.269262
1,31,5567,5567,0.268088
1,32,5656,5656,0.266026
1,33,5744,5744,0.257067
1,34,5830,5830,0.256385
1,35,5916,5916,0.255704
1,36,6000,6000,0.257045
1,37,6082,6082,0.257482
1,38,6164,6164,0.256724
1,39,6244,6244,0.255522
1,40,6324,6324,0.257535
1,41,6403,6403,0.257855
1,42,6480,6480,0.257042
1,43,6557,6557,0.256417
1,44,6633,6633,0.256878
1,45,6708,6708,0.257910
1,46,6782,6782,0.257747
1,47,6855,6855,0.257406
1,48,6928,6928,0.256593
1,49,7000,7000,0.256654
1,50,7071,7071,0.258232
1,51,7141,7141,0.259257
1,52,7211,7211,0.258693
1,53,7280,7280,0.257034
1,54,7348,7348,0.256505
1,55,7416,7416,0.256506
1,56,7483,7483,0.257913
1,57,7549,7549,0.258310
1,58,7615,7615,0.258363
1,59,7681,7681,0.257777
1,60,7745,7745,0.257571
1,61,7810,7810,0.257281
1,62,7874,7874,0.256680
1,63,7937,7937,0.257650
1,64,8000,8000,0.352157
1,65,8062,8062,0.351593
1,66,8124,8124,0.350639
1,67,8185,8185,0.351651
1,68,8246,8246,0.349961
1,69,8306,8306,0.350962
1,70,8366,8366,0.350502
1,71,8426,8426,0.355383
1,72,8485,8485,0.355116
1,73,8544,8544,0.354130
1,74,8602,8602,0.354140
1,75,8660,8660,0.351599
1,76,8717,8717,0.352374
1,77,8774,8774,0.351382
1,78,8831,8831,0.352190
1,79,8888,8888,0.355109
1,80,8944,8944,0.353779
1,81,9000,9000,0.353565
1,82,9055,9055,0.352524
1,83,9110,9110,0.352228
1,84,9165,9165,0.355292
1,85,9219,9219,0.355902
1,86,9273,9273,0.353409
1,87,9327,9327,0.352488
1,88,9380,9380,0.350964
1,89,9433,9433,0.355733
1,90,9486,9486,0.354715
1,91,9539,9539,0.352289
1,92,9591,9591,0.352691
1,93,9643,9643,0.355718
1,94,9695,9695,0.354395
1,95,9746,9746,0.353299
1,96,9797,9797,0.355838
1,97,9848,9848,0.356069
1,98,9899,9899,0.353279
1,99,9949,9949,0.353924
1,100,10000,10000,0.357011
1,101,10049,10049,0.355307
1,102,10099,10099,0.354058
1,103,10148,10148,0.356359
1,104,10198,10198,0.356190
1,105,10246,10246,0.353286
1,106,10295,10295,0.354254
1,107,10344,10344,0.356429
1,108,10392,10392,0.354453
1,109,10440,10440,0.353653
1,110,10488,10488,0.354924
1,111,10535,10535,0.354960
1,112,10583,10583,0.358244
1,113,10630,10630,0.357520
1,114,10677,10677,0.354608
1,115,10723,10723,0.355781
1,116,10770,10770,0.357139
1,117,10816,10816,0.354661
1,118,10862,10862,0.353473
1,119,10908,10908,0.356054
1,120,10954,10954,0.357155
1,121,11000,11000,0.358891
1,122,11045,11045,0.356116
1,123,11090,11090,0.354403
1,124,11135,11135,0.356445
1,125,11180,11180,0.356489
1,126,11224,11224,0.353665
1,127,11269,11269,0.353179
1,128,11313,11313,0.355236
